gu,dong,매물수,평균주당가격,평균가동률,평균월매출,평균월순수익,평균수익률_임차료대비
중구,묵정동,1,1087250.0,1.0,4707792.0,1848539.0,78.5
마포구,토정동,1,889000.0,1.0,3849370.0,1447656.0,75.2
중구,인현동2가,4,1189812.5,0.8,4165496.0,1102090.2,44.8
중구,충무로3가,2,801375.0,0.8,2896121.0,715571.5,25.3
중구,필동3가,1,490000.0,1.0,2121700.0,640834.0,60.4
서대문구,북가좌동,3,630000.0,0.8,2403611.7,610342.7,16.0
광진구,능동,2,620000.0,0.9,2359893.5,589717.0,37.3
중구,쌍림동,4,537250.0,0.9,2104876.0,522268.8,36.4
종로구,견지동,2,590000.0,0.8,2189724.5,490113.0,35.5
종로구,종로1가,11,591818.2,0.8,2162520.0,459870.7,36.0
중구,입정동,1,1057250.0,0.7,3204525.0,459829.0,20.1
중구,예장동,1,400000.0,1.0,1732000.0,458844.0,53.0
서대문구,천연동,1,400000.0,1.0,1732000.0,458844.0,53.0
중구,저동2가,1,500000.0,0.9,1952830.0,455887.0,42.1
마포구,대흥동,11,485536.4,0.9,1914241.1,449884.9,38.3
마포구,당인동,6,469166.7,0.9,1858508.2,431431.8,40.0
중구,북창동,8,743125.0,0.8,2467280.1,426994.0,27.4
종로구,종로5가,6,380000.0,1.0,1645400.0,418402.0,50.9
중구,충무로5가,2,495000.0,0.9,1817279.0,335634.0,32.0
동작구,상도1동,2,344000.0,1.0,1477430.5,333915.5,44.8
종로구,명륜3가,3,336666.7,1.0,1457766.7,330777.0,44.9
송파구,가락동,34,530735.3,0.7,1889712.0,328309.5,4.5
중구,회현동1가,2,332500.0,1.0,1439725.0,322351.5,44.7
서대문구,미근동,1,330000.0,1.0,1428900.0,317296.0,44.4
서대문구,남가좌동,2,325000.0,1.0,1364383.0,265733.0,37.0
종로구,관철동,7,434285.7,0.8,1598413.3,255436.9,20.6
종로구,혜화동,5,396000.0,0.9,1510044.2,252872.6,30.2
강남구,도곡동,4,485000.0,0.7,1700282.8,244148.5,4.6
종로구,충신동,2,379500.0,0.9,1449532.5,230080.5,28.6
종로구,수송동,4,565000.0,0.8,1862560.5,227871.0,18.0
마포구,하중동,2,280000.0,1.0,1202701.0,206812.0,34.2
종로구,관수동,4,537500.0,0.8,1775354.0,203080.0,17.3
중구,우정동,3,320000.0,0.9,1287222.3,201944.0,29.2
마포구,신공덕동,35,490285.7,0.8,1654078.3,188025.2,16.2
마포구,신수동,21,523809.5,0.8,1714650.1,174019.0,3.8
중구,흥인동,15,486600.0,0.8,1627108.3,169924.7,18.9
송파구,거여동,3,383333.3,0.8,1393870.3,167955.7,20.6
영등포구,영등포동,1,321000.0,0.9,1253717.0,167379.0,24.1
중구,중림동,36,489194.4,0.8,1625510.9,162763.0,15.5
영등포구,양평동6가,2,505000.0,0.8,1659451.0,161364.0,13.0
용산구,한남동,11,872795.5,0.6,2477888.3,156515.9,-6.4
중구,순화동,1,460000.0,0.8,1533686.0,137174.0,13.8
종로구,경운동,15,514866.7,0.7,1654932.3,135633.3,9.1
성동구,마장동,2,355000.0,0.8,1296835.0,135464.0,18.8
종로구,내수동,51,527588.2,0.7,1671122.2,123746.5,10.7
용산구,한강로2가,61,530237.7,0.7,1676972.5,123667.8,4.8
영등포구,영등포동4가,7,452142.9,0.8,1500252.3,121854.7,9.8
영등포구,문래동3가,3,340000.0,0.8,1246953.3,119703.7,16.3
종로구,연지동,7,428571.4,0.7,1436661.9,111394.6,6.4
중구,필동2가,4,414750.0,0.8,1397346.2,103300.0,4.0
종로구,팔판동,1,590000.0,0.7,1788290.0,101926.0,8.0
마포구,마포동,27,681074.1,0.7,1991446.4,101203.3,-3.6
영등포구,영등포동3가,6,388333.3,0.8,1327729.7,93172.7,8.0
종로구,명륜4가,5,323400.0,0.8,1180217.8,91109.2,13.3
성동구,용답동,9,373333.3,0.8,1290604.7,89747.9,14.9
마포구,합정동,44,534522.7,0.7,1647063.1,85468.3,7.9
마포구,성산동,45,440044.4,0.7,1418912.6,69392.3,4.4
영등포구,당산동5가,26,452000.0,0.7,1435892.6,59928.2,6.2
종로구,창신동,39,397897.4,0.8,1306463.8,51902.5,5.3
중구,광희동1가,3,370000.0,0.8,1241007.0,49003.3,9.2
용산구,문배동,3,403333.3,0.7,1314328.3,47738.7,4.5
영등포구,영등포동6가,5,380000.0,0.8,1259701.0,45431.0,6.0
마포구,아현동,29,366344.8,0.8,1224700.8,41149.0,0.4
마포구,용강동,4,1040000.0,0.7,2727878.2,36258.2,19.0
영등포구,여의도동,84,552202.4,0.7,1630692.2,31361.2,0.3
마포구,도화동,104,477874.0,0.7,1460912.8,28105.3,1.3
중구,오장동,8,416875.0,0.7,1321952.8,25794.0,2.1
종로구,명륜2가,33,401727.3,0.7,1286750.5,24548.4,2.6
서대문구,충정로3가,2,400000.0,0.7,1273085.0,15073.0,2.2
마포구,염리동,27,446629.6,0.7,1372522.4,10276.0,-1.3
마포구,서교동,115,441524.6,0.7,1355055.9,4438.2,2.8
종로구,신교동,1,310000.0,0.8,1056390.0,379.0,0.1
용산구,한강로1가,21,510714.3,0.7,1502724.4,-2562.0,1.4
용산구,용산동2가,7,395000.0,0.7,1236997.4,-8998.6,-2.5
종로구,숭인동,72,421482.6,0.7,1293545.1,-11651.8,-2.2
마포구,창전동,26,486384.6,0.8,1430060.4,-20154.3,6.1
마포구,동교동,103,509252.4,0.7,1471671.2,-29425.4,-2.6
성동구,행당동,27,405148.1,0.7,1232306.5,-35505.4,-5.5
영등포구,양평동4가,11,540545.5,0.7,1531821.0,-39010.1,-2.2
서대문구,충정로2가,7,422857.1,0.7,1268201.1,-39135.0,-5.5
영등포구,도림동,1,399000.0,0.7,1209369.0,-44375.0,-5.1
용산구,청파동2가,2,370000.0,0.7,1142297.5,-46448.5,-5.8
마포구,망원동,33,364363.6,0.7,1127811.5,-48253.6,-9.9
용산구,동자동,42,577450.0,0.6,1599719.9,-53250.0,-8.6
서대문구,대현동,31,382322.6,0.7,1160551.0,-55475.5,-13.7
중구,신당동,10,393200.0,0.7,1179235.6,-60957.2,-6.5
용산구,서계동,40,404975.0,0.7,1198826.5,-67505.7,-10.1
영등포구,영등포동2가,16,421812.5,0.7,1230483.2,-73346.9,-10.6
영등포구,당산동,5,360000.0,0.7,1091160.0,-74248.2,-11.3
마포구,공덕동,55,477027.3,0.7,1345686.9,-81484.8,-7.5
종로구,연건동,12,405500.0,0.7,1182989.9,-83956.2,-8.7
마포구,노고산동,82,428585.4,0.7,1234671.2,-83960.2,-14.0
용산구,이태원동,25,465400.0,0.7,1314461.2,-86507.0,-7.6
용산구,효창동,3,360000.0,0.7,1062842.0,-101631.7,-14.3
성동구,홍익동,1,550000.0,0.6,1483674.0,-106037.0,-8.9
종로구,청운동,1,310000.0,0.7,946322.0,-106057.0,-15.8
종로구,동숭동,9,410000.0,0.7,1168493.9,-107716.6,-11.0
서대문구,북아현동,11,570909.1,0.6,1524943.4,-111398.1,-9.0
용산구,용산동3가,4,390000.0,0.7,1119077.8,-112202.0,-14.8
